cluster,count,percentage,num_companies,companies,example_proposals
Customer Service Automation,127,17.5%,93,"abbvie, albertsons, allianz, american_airlines, apple, asahi_breweries, at&t, bank_of_america, bank_of_new_york_mellon, berkshire_hathaway, capital_one, cardinal_health, caterpillar, charter_communications, chewy",abbvie: MEDICAL INFORMATION AUTORESPONDER ( | albertsons: OMNICHANNEL CUSTOMER-CARE AUTOPILOT | allianz: LinguaCare
Regulatory Compliance Automation,80,11.0%,60,"3m, abbvie, adp, alphabet, american_airlines, american_express, asahi_breweries, bank_of_america, cardinal_health, cencora, centene, comcast, conde_nast, conocophillips, cox_enterprises",3m: TRADE-COMPLIANCE AUTOSCREENER (“TRA | abbvie: SCIENTIFIC LITERATURE EVIDENCE SURV | adp: GLOBAL REGTECH COMPLIANCE INTELLIGE
Document Generation & Translation,66,9.1%,54,"abbvie, aig, air_liquide, albertsons, archer_daniels_midland, bank_of_new_york_mellon, berkshire_hathaway, boeing, caterpillar, chevron, chewy, cna_financial, coatue, comcast, conde_nast",abbvie: GLOBAL LABEL LOCALIZER & VARIANT GE | aig: COI-GENIE  —  FULLY AUTOMATED CERTI | air_liquide: GLOBAL SDS & DANGEROUS-GOODS DOCUME
Invoice & Financial Reconciliation,63,8.7%,49,"3m, abbott_laboratories, american_express, archer_daniels_midland, asahi_breweries, avis_budget_group, bank_of_new_york_mellon, capital_one, cardinal_health, cencora, charter_communications, chevron, chubb, cocacola, conocophillips",3m: REBATE & PRICING-COMPLIANCE ENGINE  | abbott_laboratories: INVOICEMATCH 360 | american_express: EXPENSE IQ ZERO-TOUCH COMMERCIAL EX
Claims Adjudication & Settlement,54,7.4%,43,"aig, allianz, allstate, american_airlines, american_express, at&t, avis_budget_group, bank_of_america, berkshire_hathaway, capital_one, centene, chewy, chubb, cigna, cox_enterprises",aig: ECHO  —  END-TO-END DIGITAL ADJUSTE | allianz: ClaimLight | allstate: AUTO EXPRESS CLAIM-TO-PAYMENT ENGIN
Technical Support & Troubleshooting,45,6.2%,38,"3m, abbott_laboratories, adp, amazon, archer_daniels_midland, avis_budget_group, boeing, cencora, charter_communications, chevron, cisco, comcast, conocophillips, dell_technologies, ford_motor",3m: INDUSTRIAL TECHNICAL ADVISOR (“ITA” | abbott_laboratories: LABGENIE | adp: AUTONOMOUS PAYROLL SUPPORT & RESOLU
Prior Authorization & Appeals,43,5.9%,28,"abbott_laboratories, abbvie, albertsons, cardinal_health, cencora, centene, chewy, cigna, cvs, elevance, evercommerce, freddie_mac, glaxosmithkline, hca_healthcare, humana",abbott_laboratories: LIBRECARE CONCIERGE | abbvie: PRIOR-AUTH & APPEAL AUTOWRITER (“PA | albertsons: PHARMACY PRIOR-AUTHORIZATION & DENI
Warranty & Returns Processing,33,4.6%,31,"3m, abbott_laboratories, allstate, amazon, caterpillar, chewy, cisco, costco, dell_technologies, flex_ltd, general_motors, gilbane, hanesbrands, hp, koch_industries",3m: WARRANTY-CLAIM ADJUDICATOR (“CLAIMB | abbott_laboratories: WARRANTYSENSE | allstate: PROTECTION PLANS “INSTANT REPLACEME
Trade & Customs Documentation,33,4.6%,32,"air_liquide, amazon, american_airlines, archer_daniels_midland, at&t, berkshire_hathaway, boeing, caterpillar, citigroup, delta_air_lines, estee_lauder, exxon, fedex, flex_ltd, general_electric",air_liquide: CROSS-BORDER DANGEROUS-GOODS CUSTOM | amazon: GLOBAL TRADE COMPLIANCE DOCUMENT GE | american_airlines: CARGO SMART-DOCS ENGINE
Underwriting & Risk Assessment,32,4.4%,23,"aig, allianz, allstate, bank_of_america, berkshire_hathaway, centene, chubb, cna_financial, erie_insurance, fannie_mae, freddie_mac, hsbc_holdings, john_deere, liberty_mutual, lincoln_national",aig: ATLAS  —  AUTONOMOUS SMALL & MIDDLE | aig: NOVUS  —  AUTONOMOUS PERSONAL LINES | allianz: S2B-One
