company,proposal_name,current_state,problems,impact,target_persona,existing_tooling,functionality,problem_solving,risk_assessment,business_use_case,architecture_pattern,reasoning_pattern,execution_pattern,knowledge_representation,input_modalities,tool_integration,human_oversight,architecture_confidence,data_complexity,integration_complexity,prompt_complexity,chain_depth,schema_complexity,state_management,error_handling,evaluation_complexity,domain_expertise,latency_requirements,regulatory_requirements,rerepresentation_type
3m,INDUSTRIAL TECHNICAL ADVISOR (“ITA”),"3M’s global Technical Help Centers field ±1 500 000 questions per year (e-mail, chat, phone) from distributors and end-users about product selection, failure analysis, and regulatory fit-for-use. 38 % of tickets are escalated to a senior Application Engineer; first-response SLA averages 26 hours; archives exceed 60 million historical interactions.","• Escalation bottleneck—scarce SMEs spend 22 % of their time answering repeat questions.  
• Slow turnaround forfeits spec-in opportunities and elongates sales cycles.  
• Inconsistent answers risk non-compliant or unsafe end-user practices.","Independent time-motion study shows that diverting ≥60 % of inquiries away from SMEs yields:  
• $16 M annual labour savings (220 000 SME hours).  
• $95 M incremental revenue from faster spec-in wins (historical 4.2 % win-rate uplift for same-day responses).  
• 12 pt CSAT improvement.","1. Distributor Customer-Service Representative  
2. 3M End-User Maintenance Supervisor  
3. 3M Application Engineer (escalation recipient)","Salesforce Service Cloud, SharePoint knowledge articles, scattered PDF datasheets, SAP PLM, intranet FAQ pages.","• Conversational agent that diagnoses user context (“substrate type, cure temp, VOC limits”) and delivers step-by-step instructions, calculators, and compatible SKU lists.  
• Auto-produces compliant e-mail quotation attachments (SDS, RoHS letter, UL files).  
• Only escalates when confidence < 92 % or novel hazard detected.","LLM codifies tacit SME decision trees, instantly retrieving and reasoning over 70 000 technical bulletins + 300 000 SDS pages. Users receive accurate recommendations in < 15 seconds instead of 24 hours.","Primary risk = unsafe instructions. Defence-in-depth:  
• Rule-based safety policy overlay (respirator cartridge life, explosive atmospheres).  
• Dual-LLM answer agreement check; human gate on flagged cases.  
• Secure audit log for litigation discovery.",Technical Support & Troubleshooting,Tool-Using Agent,Chain-of-Thought (CoT),Conditional Branching,"Vector Embeddings, Document Store","Text Only, Structured Data",Multi-System Integration,Human Escalation,high,"Multiple Sources, Structured",Read-Only (4+ systems),Dynamic Prompt Assembly,Sequential (4-7 steps),Hybrid (Structured + Unstructured),Session State (Short-term),Human Escalation Required,Human Evaluation Required (Complex),Specialist Knowledge,Interactive (<5 seconds),Full Auditability,"Decision Tree, Linear Flow Diagram"
3m,TRADE-COMPLIANCE AUTOSCREENER (“TRADE-GUARD”),"3M exports >$11 B of product, generating ≈25 000 SKU line-items per day (≈9.1 M/yr). 72 export-compliance analysts manually review each line against EAR, ITAR, OFAC, Wassenaar, PFAS exit commitments, and 120+ embargo lists. Four inadvertent violations in 2024 resulted in $6.4 M fines and board-level scrutiny.","• Manual vetting cannot keep up with volume spikes (e.g., quarter-end).  
• Rule changes (Russia/Ukraine, PFAS sunset) propagate slowly → compliance gap.  
• Licence application packages are drafted manually and inconsistently.","Full automation of Low-Risk lines (projected 85 %) saves $9 M OPEX, eliminates nearly all processing lag, and reduces headline compliance risk on $4 B international revenue.  ","Export Compliance Analyst, Global Logistics Planner, Site Shipping Clerk.","SAP GTS, Amber Road restricted-party lists, Excel decision logs, SharePoint licence templates.","• Real-time ingestion of shipment data; entity-resolution of consignee vs. sanction lists.  
• LLM reasons over ECCN, de minimis, and country end-use embargo rules; assigns “ship / hold / licence” decision with citation links.  
• Auto-generates BIS licence applications and attaches to SAP outbound.","Transforms a 3-step, 15-minute manual review into a deterministic < 5 second decision for 85 % of lines.","Regulatory penalties for false negatives. Mitigations:  
• Highest-sensitivity rules implemented as deterministic code outside LLM.  
• Explainability layer shows clause-level justification.  
• Random 2 % human audit sampling; continuous precision monitoring.",Regulatory Compliance Automation,Sequential Pipeline,Planning/Decomposition,Sequential Chain,"Structured Database, Policy Rules",Structured Data,Write/Action APIs,Human Escalation,high,Streaming/Real-time,Write/Action (4+ systems),Dynamic Prompt Assembly,Sequential (4-7 steps),Deep Structured (4+ levels),Stateless,Mission Critical,Ground Truth Available (Exact Match),Expert Knowledge with Complex Rules,Real-time (<1 second),Highly Regulated (HIPAA/SOX/etc.),"Decision Tree, Linear Flow Diagram"
3m,CONNECTED-SAFETY INCIDENT NARRATOR (“SENTINEL”),"3M’s Connected Safety IoT platform streams ~50 000 000 sensor events per day from gas detectors, personal dosimeters, fall-protection devices, etc. Today, only critical alarms trigger a manual OSHA Form 301 write-up; average time from event to completed report = 19 days, with 17 % reports missing causal data.","• Under-reporting exposes customers and 3M to liability.  
• Loss of granular data hampers predictive safety analytics (key future SaaS revenue pillar).  
• Safety managers spend 2–3 hours compiling each report.","Automating incident narratives:  
• Saves customer EHS teams ≈$38 M annually (labour).  
• Creates a chargeable tier of analytics (projected $70 M ARR in 3 yrs).  
• Positions 3M as partner in lowering Total Recordable Incident Rate (TRIR).","Customer EHS Manager, 3M Connected-Safety Customer Success Specialist, Insurance Auditor.","Azure IoT Hub, TimescaleDB event store, manual MS Word OSHA templates.","• Real-time rule engine clusters events into “potential incident episodes.”  
• LLM merges sensor timeline, worker badge data, and company policy to draft OSHA 301, root-cause narrative, and CAPA checklist.  
• Exports JSON to customer’s EHS or SAP EH&S system.","Turns raw telemetry into fully compliant documentation seconds after an event, unlocking immediate remediation and data-driven prevention.","Incorrect narrative could bias legal liability. Mitigation:  
• Bitemporal evidence links (sensor IDs, timestamps).  
• Legal review automatically required for any injury-severity score > 3.  
• Configurable customer policy layer.",Safety & Incident Reporting,Sequential Pipeline,Planning/Decomposition,Event-Driven,"Sensor/Telemetry, Policy Rules","Sensor/Telemetry, Structured Data",Write/Action APIs,Fully Autonomous,high,Streaming/Real-time,Write/Action (4+ systems),Dynamic Prompt Assembly,Sequential (4-7 steps),Deep Structured (4+ levels),Complex State Machine,Mission Critical,Human Evaluation Required (Complex),Specialist Knowledge,Near Real-time (minutes),Safety-Critical,"State Machine, Linear Flow Diagram"
3m,WARRANTY-CLAIM ADJUDICATOR (“CLAIMBOT”),"Across Consumer, Safety, and Industrial portfolios, 3M receives ≈2 000 000 warranty claims/year (web form, phone, e-mail). Agents manually collect proof-of-purchase, photos, and product batch codes; 31 % of claims approved without sufficient evidence → $14 M unnecessary replacements and shipping.","• High unit cost ($7 per claim); inconsistent application of warranty terms.  
• Delay (average 12 days) creates NPS drag and negative social sentiment.  ","Targeting 80 % fully automated adjudication delivers:  
• $9 M direct cost savings (labour + false claims).  
• 3 pt NPS uplift from same-day resolutions.  
• Data lake of failure modes supporting Material R&D.","End Consumer, Distributor Returns Clerk, 3M Warranty Operations Supervisor.","Zendesk, legacy AS/400 warranty module, manual e-mail triage.","• Multimodal LLM accepts claim text + images, extracts batch/LOT, validates against warranty policy and defect lexicon.  
• Generates approval / denial letter, prepaid shipping label, and SAP credit memo where applicable.  
• Flags suspected fraud (image reuse, serial mismatch).",Codifies warranty policy into deterministic prompts; reduces cycle time from 12 days to < 4 hours.,Wrong denials harm brand; mitigated by 100 % human review of low-confidence (< 88 %) cases and “appeal” workflow.,Warranty & Returns Processing,Sequential Pipeline,Chain-of-Thought (CoT),Sequential Chain,"Policy Rules, Structured Database","Text + Images, Structured Data",Write/Action APIs,Human Escalation,high,"Multimodal, Simple",Write/Action (1-3 systems),Few Static Prompts (2-5),Sequential (2-3 steps),Nested Structured (2-3 levels),Stateless,Graceful Degradation,Ground Truth Available (Similarity),Professional Knowledge,Batch/Async (hours-days),Basic Audit Trail,Linear Flow Diagram
3m,REBATE & PRICING-COMPLIANCE ENGINE (“REBATE-RANGER”),"3M honours >600 distributor programmes worldwide, each with tiered quarterly rebates, growth multipliers, and SKU-family exclusions. This spawns ≈14 000 000 invoice-line rebate submissions per year. Currently, 170 analysts reconcile Excel claim files against 1 200 PDF contracts, a 6-week backlog. 2024 audit found $23 M overpayments and $9 M underpayments (channel conflict risk).","• Manual rules interpretation of complex rebate schedules.  
• Revenue leakage + strained distributor relations from delayed credits.  
• Lost pricing insights for margin optimisation.","An LLM system that automates 90 % of claim validation will:  
• Reclaim $20+ M in net margin leakage.  
• Reduce working-capital lockup by $110 M (faster credit issuance).  
• Provide real-time price-elasticity analytics for Sales Ops.","Distributor Claims Analyst, Pricing Manager, Channel Finance Director.","SAP SD rebate module (limited), email-based Excel uploads, SharePoint contract repository.","• OCR + LLM parse historical and new rebate contracts into machine-readable policy objects (tiers, caps, growth hurdles).  
• Auto-ingests distributor claim CSVs, reconciles each line to policy, generates approval or exception reason.  
• Writes journal entry and credit memo back to SAP; pushes dashboards on earned vs. accrued rebate.","Turns 45-day, spreadsheet-driven process into near real-time clearing; eliminates subjective interpretation discrepancies.","Financial mis-credit risk. Controls:  
• Dual ledger check-back to SAP totals.  
• Line-item audit sampling.  
• SOX-compliant immutable log.",Invoice & Financial Reconciliation,Sequential Pipeline,Planning/Decomposition,Sequential Chain,"Structured Database, Policy Rules","Text Only, Structured Data",Write/Action APIs,Human Escalation,high,"Multiple Sources, Structured",Write/Action (4+ systems),Dynamic Prompt Assembly,Sequential (4-7 steps),Deep Structured (4+ levels),Stateless,Compensation/Rollback,Ground Truth Available (Exact Match),Expert Knowledge with Complex Rules,Batch/Async (hours-days),Full Auditability,"Linear Flow Diagram, Entity-Relationship Diagram"
abbott_laboratories,VIGISYNTH,"Abbott receives 3.2 million safety-related communications per year across Diabetes Care, Cardiovascular, Diagnostics, Nutrition and Established Pharma. Inputs arrive as:  1.4 M telephone calls (recorded audio)  900 K web / in-app forms  450 K emails  250 K social posts captured by Brandwatch  Today, 1 800 pharmacovigilance (PV) agents and device complaint analysts manually:  1. Transcribe/translate narratives  2. Extract patient/product/event data  3. Code MedDRA / IMDRF problem codes  4. Decide seriousness & expectedness by SOP  5. Populate FDA 3500A or ICH-E2B(R3) XML in Oracle Argus  6. Submit within 15-/30-day clocks"," Labor cost 46 M/yr and rising 9 % CAGR.   Spikes (e.g., Libre adhesive issue) overwhelm capacity; in 2024 five 15-day cases breached statutory clock 1 Form 483 warning risk.   8 % narratives miscoded 1 health-authority queries, re-work and brand risk.",LLM-led end-to-end automation of 80 % of cases:   OPEX cut $30 M/yr   0 regulatory clock breaches (avoids up-to-$10 M fines)   Earlier signal detection (week-1 vs week-4) reduces recall exposure by $75 M NPV over five years.,"Global Safety Case Processors, Safety Scientists, & Device Surveillance Managers.","Oracle Argus v8.3, NICE Engage call recorder, TrackWise complaints, MedDRA v27.0 dictionary, brand social-listening feeds, MS Excel triage macros.","1. Real-time speech-to-text & machine translation for 47 languages  2. LLM extraction of key fields (reporter, patient, suspect product, event, outcome, lot) with confidence scores  3. Automated seriousness & causality classification using Abbott SOP rulesets  4. MedDRA / IMDRF auto-coding (preferred term & hierarchy)  5. Generation & API push of complete E2B(R3) XML and FDA 3500A PDFs into Argus queue  6. Clustering of low-frequency event embeddings to surface emerging signals",Transforms human data-entry into exception-handling; only <20 % low-confidence or complex cases require analyst review., False negative seriousness 1 dual-model ensemble with 99 % recall target; mandatory human review below confidence threshold.   PHI handling 1 hosted in Abbott validated VPC; data encrypted in transit/at rest; audit trail retained for 5 yrs per FDA guidance.,Safety & Incident Reporting,Sequential Pipeline,Chain-of-Thought (CoT),Conditional Branching,"Vector Embeddings, Policy Rules","Text + Audio, Structured Data",Write/Action APIs,Human Escalation,high,"Multimodal, Complex",Write/Action (4+ systems),Dynamic Prompt Assembly,Sequential (8+ steps),Deep Structured (4+ levels),Complex State Machine,Mission Critical,Human Evaluation Required (Complex),Specialist Knowledge,Interactive (<5 seconds),Highly Regulated (HIPAA/SOX/etc.),"Linear Flow Diagram, State Machine"
abbott_laboratories,LIBRECARE CONCIERGE,"FreeStyle Libre serves 7 million active users who each consume  26 sensors/year (14-day wear). That produces ~182 million individual reimbursement events annually in the U.S., EU and key APAC markets. The LibreCare hub:   Receives 38 million annual benefit-verification (BV) requests (phone, web, e-fax).   Generates 24 million payer prior-authorization (PA) packages.   Employs 2 400 contact-center and HUB specialists plus five BPO vendors (cost  $120 M/yr)."," 31 % of PA submissions are returned for additional info (missing ICD-10, incorrect dosing schedule).   Average BV+PA cycle time: 4.6 days 1 therapy start delays, abandonment rate 14 %.   Manual creation of Statement of Medical Necessity letters eats 12 FTE hours per 100 patients.",LLM automation of BV/PA for 85 % of cases:   Labor reduction $80 M/yr.   Abandonment cut to <6 % 1 +260 K retained patients 1 +$340 M top-line over 3 yrs.   HCP satisfaction 1; channel stickiness vs Dexcom.,"HUB Agents, Field Reimbursement Specialists, Endocrinology office staff.","Salesforce Health-Cloud patient hub, Availity payer portal log-ins, MS Word PA letter templates, Fax-over-IP servers.","1. Intake patient demographics + payer info via conversational webbot or EHR FHIR API.  2. Real-time eligibility scrape from payer portals; extract coverage criteria.  3. Auto-generate PA packet: Statement of Medical Necessity, ICD-10 justification, Libre product codes, fillable PDF or EDI 278.  4. Submit via integrated RPA / API; poll status every 4 hrs; auto-respond to payer questionnaires.  5. Proactively text/email patient & HCP with status; escalate only if denial predicted.","Turns BV/PA from high-touch human process to background automation; rules are payer-published and policy-driven, easily codified.", Incorrect submission may delay therapy 1 confidence gating; proactive monitoring.   HIPAA compliance 1 solution deployed in HITRUST-certified cloud; limited data retention.,Prior Authorization & Appeals,Workflow Orchestration,Planning/Decomposition,Iterative Loop,"Structured Database, API/External","Text Only, Structured Data",Multi-System Integration,Human Escalation,high,"Multiple Sources, Structured",Write/Action (4+ systems),Dynamic Prompt Assembly,Cyclic/Iterative,Deep Structured (4+ levels),Complex State Machine,Human Escalation Required,Multi-Dimensional Scoring,Specialist Knowledge,Near Real-time (minutes),Highly Regulated (HIPAA/SOX/etc.),"State Machine, Linear Flow Diagram"
abbott_laboratories,LABGENIE,"Abbott supports 13 000 Alinity core-lab instruments and 85 000 i-STAT devices in 110 countries. Annual support volume:   1.6 million voice calls   800 K chat sessions (growing 22 % YoY)   400 K email tickets  Top-10 repetitive issues (e.g., error code 2012 2 sample clots detected2) represent 72 % of total. Level-1 agents (600 FTE, $42 M cost) read KB articles and walk customers through SOP steps; MTTR averages 57 minutes."," Labs operate 24/7; queue wait  9 minutes during night shift.   Agent turnover 28 % 1 knowledge leakage.   Delayed troubleshooting leads to instrument downtime, test TAT penalties for hospitals.",LLM driven autonomous voice/chat agent resolving 70 % L1 issues:   OPEX save $28 M/yr   Average TAT improvement 15 %; stronger customer renewals (>3 % incremental reagent revenue $60 M).,Hospital Laboratory Technologists & Point-of-Care Coordinators.,"Salesforce Service Cloud, Five9 telephony, PDF service manuals, internal KB (65 000 articles), real-time instrument telemetry API.","1. Natural-language IVR/chatbot identifies instrument, pulls last 50 telemetry events.  2. LLM matches error signature to SOP decision tree; leads user through step-by-step instructions with dynamic validation (2Send me photo of cuvette bay2).  3. Executes service cloud actions: create RMA, ship consumables, open field-engineer visit if unresolved.  4. Captures ticket summary & root cause code automatically.","High-volume, rule-driven (error 1 fix) tasks fully automated; humans deal only with hardware failures requiring on-site repair.", Wrong guidance causing patient-impact 1 mitigated via telemetry cross-check & confidence threshold; escalation fallback.   Language diversity 1 model fine-tuned for 14 core languages; others routed to human.,Technical Support & Troubleshooting,Tool-Using Agent,Chain-of-Thought (CoT),Conditional Branching,"Structured Database, Document Store","Text Only, Text + Images",Write/Action APIs,Human Escalation,high,"Multimodal, Simple",Write/Action (1-3 systems),Dynamic Prompt Assembly,Branching (2-5 paths),Nested Structured (2-3 levels),Session State (Short-term),Human Escalation Required,Multi-Dimensional Scoring,Professional Knowledge,Interactive (<5 seconds),Basic Audit Trail,"Decision Tree, Linear Flow Diagram"
abbott_laboratories,INVOICEMATCH 360,"Abbott processes 25 million invoices, credit notes and purchase orders per year across 160 countries (Nutrition distributors, hospital group-purchasing, pharma tenders, inter-company). Current flow:  1. Customer emails/faxes PDF or EDI PO.  2. Regional shared-service staff validate pricing, tax codes, incoterms.  3. Match to goods-receipt & ship-notice in SAP S/4.  4. Post or raise discrepancy ticket.  5. Handle 1.9 M yearly exceptions manually.  Total cost: $65 M/yr (7 shared-service centers, 1 200 FTE).", 18-day average DSO penalty in LATAM caused by mismatch delays.   3.5 % invoice error rate triggers customer credit-rebills ($220 M revenue re-work).,LLM automation (document understanding + policy rule engine) handles 90 % straight-through; only high-value disputes routed to staff:   Annual labor saving $45 M   DSO reduction 4 days 1 $460 M working-capital release   70 % drop in rebills 1 +$25 M net revenue.,Global Finance Shared-Services Invoice Analysts & Credit Controllers.,"SAP S/4 HANA, OpenText VIM OCR, Esker EDI gateways, Outlook mailboxes.","1. Multichannel ingestion (email, EDI, portal) 1 LLM extracts header, line items, incoterm, VAT text with 99 % accuracy.  2. Cross-checks against SAP master data (price, UoM, tax) & shipment records.  3. If 100 % match, posts automatically; if variance within configurable tolerance (<1 %), auto-issue credit/debit memo; else create SAP discrepancy workflow.  4. Generates polite, localized dispute emails to customer with evidence.","Document matching is deterministic, policy-driven (price lists, tax tables). High volume equals massive ROI; creative judgment not required.", Financial mis-posting risk 1 dual control: LLM posts only when rule engine returns 2pass2 status; else human. Audit log retained.   Data privacy (PII in supplier invoices) 1 processed in EU-hosted cluster GDPR-compliant.,Invoice & Financial Reconciliation,Sequential Pipeline,Direct/None,Conditional Branching,"Structured Database, Policy Rules","Text Only, Structured Data",Write/Action APIs,Human Escalation,high,"Multiple Sources, Structured",Write/Action (4+ systems),Dynamic Prompt Assembly,Sequential (4-7 steps),Deep Structured (4+ levels),Complex State Machine,Compensation/Rollback,Ground Truth Available (Exact Match),Professional Knowledge,Near Real-time (minutes),Full Auditability,"Linear Flow Diagram, State Machine"
abbott_laboratories,WARRANTYSENSE,"Abbott ships 230 million Libre sensors annually. Field failure/return rate ~2.3 % (skin adhesion, premature shut-off, packaging breach) 1 5.3 million warranty claims per year submitted via phone, chat, pharmacy portals. Current process:  1. Agent verifies lot/serial, failure reason, wear-time.  2. Checks claim against warranty policy (14 days wear).  3. Approves replacement shipment or denies.  4. Issues credit memo to distributor if applicable.   500 FTE globally; cost $22 M/yr.   12 % claims processed >48 hrs leads to patient dissatisfaction, competitive churn.", High touch for rule-based decisions.   Fraudulent repeats (1.5 % of claimants) increase COGS.,LLM automation to fully adjudicate 90 % of claims:   Labor saving $17 M/yr   Same-day replacement increases Net Promoter Score by 11 pts; retention benefit $95 M NPV.   Fraud filter cuts bogus claims 50 % 1 $8 M product savings.,"Customer Experience Agents, Logistics Coordinators, Diabetes Patients.","Zendesk ticketing, SAP Order-to-Cash, UPS WorldShip, Lot-traceability DB, Simple rules-based fraud scorecard.","1. Conversational intake bot (voice/chat) captures lot, wear-time (via app telemetry if consented).  2. LLM validates against policy matrix (product, geography, warranty days).  3. Runs fraud-propensity model (repeat pattern, location, sentiment).  4. Auto-creates SAP replacement order & courier label; emails patient instructions to discard sensor per FDA biologics disposal rules.  5. Generates instant credit memo for distributor or pharmacy.",Warranty eligibility uses clearly defined policies; automation removes human bottleneck and subjective inconsistencies., Approving fraudulent claims 1 continuous ML fraud scoring; monetary cap for auto-approval.   Patient safety 1 LLM constrained to scripted disposal instructions; escalation pathway for adverse event narratives to VigiSynth.,Warranty & Returns Processing,Sequential Pipeline,Chain-of-Thought (CoT),Sequential Chain,"Structured Database, Policy Rules","Text Only, Text + Audio, Structured Data",Write/Action APIs,Fully Autonomous,high,"Multiple Sources, Structured",Write/Action (4+ systems),Dynamic Prompt Assembly,Sequential (4-7 steps),Nested Structured (2-3 levels),Session State (Short-term),Graceful Degradation,Proxy Metrics,Professional Knowledge,Interactive (<5 seconds),Highly Regulated (HIPAA/SOX/etc.),"Decision Tree, Linear Flow Diagram"
